iter	Passed	Remaining
1374	181095	214021
1375	181222	213884
1376	181351	213749
1377	181476	213610
1378	181613	213485
1379	181732	213338
1380	181872	213216
1381	182005	213085
1382	182114	212927
1383	182235	212783
1384	182367	212652
1385	182495	212516
1386	182622	212379
1387	182755	212249
1388	182885	212115
1389	183003	211967
1390	183102	211799
1391	183202	211631
1392	183309	211470
1393	183409	211302
1394	183508	211133
1395	183608	210965
1396	183714	210804
1397	183841	210668
1398	183977	210541
1399	184118	210420
1400	184252	210292
1401	184366	210140
1402	184524	210039
1403	184655	209907
1404	184776	209764
1405	184903	209627
1406	185039	209500
1407	185178	209377
1408	185295	209230
1409	185427	209099
1410	185554	208962
1411	185694	208840
1412	185827	208710
1413	185984	208607
1414	186114	208474
1415	186256	208355
1416	186359	208191
1417	186464	208030
1418	186559	207858
1419	186670	207703
1420	186767	207533
1421	186863	207363
1422	186978	207214
1423	187089	207059
1424	187205	206911
1425	187351	206795
1426	187478	206659
1427	187616	206535
1428	187756	206413
1429	187890	206285
1430	188028	206161
1431	188164	206034
1432	188306	205915
1433	188421	205766
1434	188550	205631
1435	188685	205504
1436	188812	205367
1437	188952	205245
1438	189083	205114
1439	189188	204954
1440	189288	204788
1441	189390	204625
1442	189482	204451
1443	189581	204285
1444	189676	204115
1445	189776	203950
1446	189883	203793
1447	189993	203639
1448	190124	203508
1449	190269	203391
1450	190405	203265
1451	190556	203155
1452	190697	203034
1453	190833	202907
1454	190975	202788
1455	191122	202674
1456	191243	202532
1457	191380	202406
1458	191515	202279
1459	191655	202157
1460	191777	202016
1461	191913	201889
1462	192070	201785
1463	192209	201661
1464	192338	201528
1465	192476	201404
1466	192583	201247
1467	192691	201091
1468	192792	200929
1469	192901	200774
1470	193000	200610
1471	193131	200478
1472	193245	200330
1473	193376	200198
1474	193504	200064
1475	193653	199951
1476	193817	199854
1477	193945	199719
1478	194089	199600
1479	194253	199503
1480	194428	199417
1481	194587	199314
1482	194751	199216
1483	194910	199113
1484	195049	198989
1485	195196	198874
1486	195321	198736
1487	195468	198621
1488	195602	198492
1489	195729	198356
1490	195837	198202
1491	195952	198054
1492	196064	197902
1493	196172	197747
1494	196277	197590
1495	196389	197440
1496	196503	197291
1497	196645	197170
1498	196783	197045
1499	196923	196923
1500	197063	196800
1501	197230	196705
1502	197387	196599
1503	197589	196538
1504	197866	196552
1505	198171	196592
1506	198532	196688
1507	198811	196702
1508	199057	196683
1509	199372	196731
1510	199594	196688
1511	199793	196622
1512	199997	196560
1513	200228	196525
1514	200487	196517
1515	200710	196473
1516	200905	196402
1517	201096	196327
1518	201277	196242
1519	201490	196187
1520	201656	196087
1521	201838	196003
1522	202014	195912
1523	202231	195861
1524	202403	195767
1525	202602	195698
1526	202800	195628
1527	202968	195530
1528	203172	195465
1529	203347	195373
1530	203555	195312
1531	203817	195303
1532	204252	195458
1533	204507	195442
1534	204765	195427
1535	204954	195347
1536	205109	195234
1537	205286	195141
1538	205442	195030
1539	205583	194903
1540	205758	194809
1541	205949	194730
1542	206116	194628
1543	206307	194549
1544	206516	194486
1545	206701	194401
1546	206893	194321
1547	207076	194234
1548	207237	194126
1549	207411	194030
1550	207590	193938
1551	207752	193831
1552	207910	193720
1553	208083	193621
1554	208264	193531
1555	208433	193431
1556	208649	193372
1557	208818	193271
1558	208990	193171
1559	209169	193079
1560	209339	192978
1561	209522	192889
1562	209700	192796
1563	209872	192695
1564	210024	192578
1565	210205	192486
1566	210368	192378
1567	210529	192269
1568	210705	192173
1569	210942	192132
1570	211126	192042
1571	211364	192002
1572	211573	191935
1573	211786	191872
1574	212003	191812
1575	212222	191754
1576	212445	191699
1577	212639	191617
1578	212862	191563
1579	213032	191459
1580	213206	191359
1581	213401	191278
1582	213600	191201
1583	213794	191119
1584	214064	191105
1585	214281	191043
1586	214546	191023
1587	214780	190975
1588	215035	190946
1589	215275	190904
1590	215502	190850
1591	215794	190853
1592	216008	190786
1593	216247	190742
1594	216458	190673
1595	216679	190612
1596	216911	190561
1597	217146	190512
1598	217409	190488
1599	217638	190433
1600	217862	190374
1601	218071	190302
1602	218254	190207
1603	218428	190103
1604	218651	190043
1605	218828	189942
1606	219002	189838
1607	219174	189733
1608	219315	189600
1609	219479	189488
1610	219638	189371
1611	219816	189271
1612	219995	189171
1613	220176	189073
1614	220350	188969
1615	220525	188865
1616	220718	188777
1617	220914	188691
1618	221138	188629
1619	221432	188628
1620	221994	188852
1621	222341	188894
1622	222606	188865
1623	222833	188804
1624	223134	188806
1625	223432	188804
1626	223668	188750
1627	224210	188953
1628	224517	188958
1629	224763	188911
1630	225038	188889
1631	225290	188846
1632	225479	188750
1633	225693	188676
1634	225850	188554
1635	226011	188434
1636	226195	188334
1637	226348	188209
1638	226498	188080
1639	226674	187973
1640	226836	187855
1641	227007	187744
1642	227176	187631
1643	227374	187542
1644	227558	187442
1645	227740	187339
1646	227931	187243
1647	228112	187141
1648	228294	187037
1649	228470	186930
1650	228617	186799
1651	228802	186698
1652	228972	186585
1653	229134	186465
1654	229284	186337
1655	229449	186219
1656	229615	186103
1657	229777	185984
1658	229963	185883
1659	230131	185769
